sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
楠梓,高雄市,42,,良好,1.3,0.41,23.6,13.8,42,17,12.3,16.7,4.4,0.7,317,2024/5/2 10:00,0.3,13,32,1,120.328289,22.733667,53
左營,高雄市,69,細懸浮微粒,普通,,0.49,32.7,18,37,28,11.3,15.1,3.8,1.5,16,2024/5/2 10:00,0.4,22.7,34,1,120.292917,22.674861,54
前金,高雄市,64,細懸浮微粒,普通,0.9,0.51,38.2,20.2,46,20,14.9,18.7,3.7,1.9,341,2024/5/2 10:00,0.4,20.9,40,0,120.2867611,22.63390278,56
前鎮,高雄市,57,細懸浮微粒,普通,1.3,0.41,48.9,24.2,18,8,13.1,15,1.8,0.5,336,2024/5/2 10:00,0.4,17.8,26,1,120.3083336,22.6044507,57
小港,高雄市,47,,良好,1.8,0.38,37.8,19.6,19,11,15.7,20.7,4.9,1.1,282,2024/5/2 10:00,0.3,14.4,23,1,120.337736,22.565833,58
屏東,屏東縣,28,,良好,1.2,0.25,41.2,20.2,21,11,5.7,7.9,2.2,0.1,359,2024/5/2 10:00,0.2,8.5,24,0,120.488033,22.673081,59
潮州,屏東縣,,,,,,,,,,,,,,,2024/5/2 10:00,,,,,120.561175,22.523108,60
恆春,屏東縣,58,臭氧八小時,普通,0.2,0.14,57.5,57.9,13,1,0.6,0.7,0,6.5,0,2024/5/2 10:00,0.1,3.5,11,0,120.788928,21.958069,61
臺東,臺東縣,41,,良好,1.2,0.27,52.6,44.6,16,1,6.2,7.2,1,2.3,41,2024/5/2 10:00,0.2,1.2,13,0,121.15045,22.755358,62
花蓮,花蓮縣,32,,良好,1.4,0.35,35.5,35.1,6,8,13.4,14.5,1.1,0.2,217,2024/5/2 10:00,0.3,7.6,5,0,121.599769,23.971306,63
陽明,臺北市,67,臭氧八小時,普通,0.2,0.2,61.1,60,0,1,1.5,2.5,0.9,,,2024/5/2 10:00,0.2,1.7,1,0,121.529583,25.182722,64
宜蘭,宜蘭縣,41,,良好,0.8,0.39,46.6,44.1,6,5,0,0.3,0.2,0.2,208,2024/5/2 10:00,0.2,4,7,0,121.746394,24.747917,65
冬山,宜蘭縣,44,,良好,0.4,0.23,48,47.2,10,10,6.5,7,0.5,0.9,266,2024/5/2 10:00,0.2,6.7,10,0,121.792928,24.632203,66
三重,新北市,56,二氧化氮,普通,1,0.89,22.5,32.7,15,9,38.5,65.5,27,-,-,2024/5/2 10:00,0.7,9.3,11,0,121.493806,25.072611,67
中壢,桃園市,50,,良好,1.1,0.72,28.4,33.8,16,12,30.9,41.9,11,0.7,319,2024/5/2 10:00,0.5,9.5,10,1,121.221667,24.953278,68
竹山,南投縣,38,,良好,0.9,0.2,33.4,17.1,18,14,4.5,6.5,1.9,1.6,351,2024/5/2 10:00,0.2,11.7,22,1,120.677306,23.756389,69
永和,新北市,43,,良好,1.2,0.6,37.3,46.3,11,9,23.3,28.7,5.4,0.9,84,2024/5/2 10:00,0.4,7.2,8,1,121.516306,25.017,70
復興,高雄市,57,細懸浮微粒,普通,1.5,0.55,46,23.1,17,10,15.3,18.1,2.7,0.9,131,2024/5/2 10:00,0.5,18,25,0,120.312017,22.608711,71
埔里,南投縣,33,,良好,1.2,0.27,27.6,21,16,12,5.2,7.9,2.7,1.1,355,2024/5/2 10:00,0.2,10.2,18,0,120.967903,23.968842,72
馬祖,連江縣,71,臭氧八小時,普通,1.1,0.21,58.8,61.2,,18,5.8,6.7,0.8,1.7,335,2024/5/2 10:00,0.1,15.3,25,0,119.9314938,26.15188416,75
金門,金門縣,45,,良好,1.1,0.28,54.5,49.9,,8,6.2,7.2,1,2.2,63,2024/5/2 10:00,0.2,9.9,12,1,118.312256,24.432133,77
馬公,澎湖縣,77,臭氧八小時,普通,1,0.21,67.5,63.2,19,9,2.4,3.6,1.2,6.4,31,2024/5/2 10:00,0.2,9.2,14,0,119.566158,23.569031,78
關山,臺東縣,35,,良好,0.9,0.25,43,38.4,12,0,3.2,4.8,1.5,2.8,30,2024/5/2 10:00,0.2,4.6,15,0,121.161933,23.045083,80
麥寮,雲林縣,36,,良好,2.2,0.22,53.6,39.2,16,5,5.8,8,2.2,5.2,0,2024/5/2 10:00,0.2,8,15,1,120.251825,23.753506,83
富貴角,新北市,84,臭氧八小時,普通,0,0.17,64.5,65.7,26,4,1,0.8,0,4.6,69,2024/5/2 10:00,0.1,5.7,23,0,121.5365689,25.29681695,84
大城,彰化縣,43,,良好,1.5,0.18,61.3,46,15,3,3.6,3.8,0.2,6.9,27,2024/5/2 10:00,0.2,6.8,17,1,120.2696417,23.85493056,85
彰化（員林）,彰化縣,38,,良好,2.3,0.41,34.4,21.9,20,12,14.5,18.3,3.8,1.3,345,2024/5/2 10:00,0.3,11.8,22,1,120.56373,23.96117,201
高雄（湖內）,高雄市,71,細懸浮微粒,普通,1.9,0.38,25.5,12.4,29,23,10.8,16,5.2,1.3,48,2024/5/2 10:00,0.4,23.7,33,0,120.24535,22.87985556,202
臺南（麻豆）,臺南市,53,細懸浮微粒,普通,1.8,0.33,35,22.2,24,11,7.9,10,2,1.6,344,2024/5/2 10:00,0.4,16.2,29,0,120.2458306,23.17904722,203
屏東（琉球）,屏東縣,48,,良好,2.9,0.28,27.2,18.4,29,,22.3,40.8,18.5,1.4,358,2024/5/2 10:00,0.2,14.9,26,1,120.37722,22.35222,204
新北(樹林),新北市,43,,良好,0.2,0.43,27.2,30,16,9,26.6,31.9,5.3,0.8,173,2024/5/2 10:00,0.3,9,11,0,121.3835278,24.94902778,311
大甲（日南國小）,臺中市,26,,良好,0.3,0.25,34.4,28.8,6,4,4.6,6.5,1.8,2.8,45,2024/5/2 10:00,0.3,4.6,6,0,120.6552538,24.39017512,312
屏東(枋山),屏東縣,39,,良好,5.6,0.2,53,42.9,47,16,4.6,5.5,0.8,2,232,2024/5/2 10:00,0.1,10.4,32,0,120.651472,22.260899,313
